,original,cell,0h,8h,24h,48h,72h,passaged1,passaged2
A1-2,V3,Vero,V12,V40,V68,V96,V124,V152,V180
A1-2,,Vero,V13,V41,V69,V97,V125,V153,V181
A1-4,V4,Vero,V14,V42,V70,V98,V126,V154,V182
A1-4,,Vero,V15,V43,V71,V99,V127,V155,V183
A1-5,V5,Vero,V16,V44,V72,V100,V128,V156,V184
A1-5,,Vero,V17,V45,V73,V101,V129,V157,V185
B1-1,V1,Vero,V18,V46,V74,V102,V130,V158,V186
B1-1,,Vero,V19,V47,V75,V103,V131,V159,V187
B2-1,V2,Vero,V20,V48,V76,V104,V132,V160,V188
B2-1,,Vero,V21,V49,V77,V105,V133,V161,V189
A1-2+B1-1,V6,Vero,V22,V50,V78,V106,V134,V162,V190
A1-2+B1-1,,Vero,V23,V51,V79,V107,V135,V163,V191
A1-2+B1-1,,Vero,V24,V52,V80,V108,V136,V164,V192
A1-2+B2-1,V7,Vero,V25,V53,V81,V109,V137,V165,V193
A1-2+B2-1,,Vero,V26,V54,V82,V110,V138,V166,V194
A1-2+B2-1,,Vero,V27,V55,V83,V111,V139,V167,V195
A1-4+B1-1,V8,Vero,V28,V56,V84,V112,V140,V168,V196
A1-4+B1-1,,Vero,V29,V57,V85,V113,V141,V169,V197
A1-4+B1-1,,Vero,V30,V58,V86,V114,V142,V170,V198
A1-4+B2-1,V9,Vero,V31,V59,V87,V115,V143,V171,V199
A1-4+B2-1,,Vero,V32,V60,V88,V116,V144,V172,V200
A1-4+B2-1,,Vero,V33,V61,V89,V117,V145,V173,V201
A1-5+B1-1,V10,Vero,V34,V62,V90,V118,V146,V174,V202
A1-5+B1-1,,Vero,V35,V63,V91,V119,V147,V175,V203
A1-5+B1-1,,Vero,V36,V64,V92,V120,V148,V176,V204
A1-5+B2-1,V11,Vero,V37,V65,V93,V121,V149,V177,V205
A1-5+B2-1,,Vero,V38,V66,V94,V122,V150,V178,V206
A1-5+B2-1,,Vero,V39,V67,V95,V123,V151,V179,V207
A1-2,C1,Calu,C12,C40,C68,C96,C124,C152,C180
A1-2,,Calu,C13,C41,C69,C97,C125,C153,C181
A1-4,C2,Calu,C14,C42,C70,C98,C126,C154,C182
A1-4,,Calu,C15,C43,C71,C99,C127,C155,C183
A1-5,C3,Calu,C16,C44,C72,C100,C128,C156,C184
A1-5,,Calu,C17,C45,C73,C101,C129,C157,C185
B1-1,C4,Calu,C18,C46,C74,C102,C130,C158,C186
B1-1,,Calu,C19,C47,C75,C103,C131,C159,C187
B2-1,C5,Calu,C20,C48,C76,C104,C132,C160,C188
B2-1,,Calu,C21,C49,C77,C105,C133,C161,C189
A1-2+B1-1,C6,Calu,C22,C50,C78,C106,C134,C162,C190
A1-2+B1-1,,Calu,C23,C51,C79,C107,C135,C163,C191
A1-2+B1-1,,Calu,C24,C52,C80,C108,C136,C164,C192
A1-2+B2-1,C7,Calu,C25,C53,C81,C109,C137,C165,C193
A1-2+B2-1,,Calu,C26,C54,C82,C110,C138,C166,C194
A1-2+B2-1,,Calu,C27,C55,C83,C111,C139,C167,C195
A1-4+B1-1,C8,Calu,C28,C56,C84,C112,C140,C168,C196
A1-4+B1-1,,Calu,C29,C57,C85,C113,C141,C169,C197
A1-4+B1-1,,Calu,C30,C58,C86,C114,C142,C170,C198
A1-4+B2-1,C9,Calu,C31,C59,C87,C115,C143,C171,C199
A1-4+B2-1,,Calu,C32,C60,C88,C116,C144,C172,C200
A1-4+B2-1,,Calu,C33,C61,C89,C117,C145,C173,C201
A1-5+B1-1,C10,Calu,C34,C62,C90,C118,C146,C174,C202
A1-5+B1-1,,Calu,C35,C63,C91,C119,C147,C175,C203
A1-5+B1-1,,Calu,C36,C64,C92,C120,C148,C176,C204
A1-5+B2-1,C11,Calu,C37,C65,C93,C121,C149,C177,C205
A1-5+B2-1,,Calu,C38,C66,C94,C122,C150,C178,C206
A1-5+B2-1,,Calu,C39,C67,C95,C123,C151,C179,C207