Var1,Freq,Mutations
2020/7/4,0,8782T
2020/7/5,0,8782T
2020/7/6,0,8782T
2020/7/7,0,8782T
2020/7/8,0,8782T
2020/7/9,1,8782T
2020/7/10,0,8782T
2020/7/11,0,8782T
2020/7/12,0,8782T
2020/7/13,0,8782T
2020/7/14,0,8782T
2020/7/15,1,8782T
2020/7/16,0,8782T
2020/7/17,1,8782T
2020/7/18,0,8782T
2020/7/19,0,8782T
2020/7/20,0,8782T
2020/7/21,1,8782T
2020/7/22,0,8782T
2020/7/23,1,8782T
2020/7/24,0,8782T
2020/7/25,0,8782T
2020/7/26,0,8782T
2020/7/27,0,8782T
2020/7/28,0,8782T
2020/7/29,0,8782T
2020/7/30,0,8782T
2020/7/31,0,8782T
2020/8/1,0,8782T
2020/8/2,0,8782T
2020/8/3,0,8782T
2020/8/4,1,8782T
2020/8/5,0,8782T
2020/8/6,3,8782T
2020/8/7,0,8782T
2020/8/8,0,8782T
2020/8/9,0,8782T
2020/8/10,1,8782T
2020/8/11,0,8782T
2020/8/12,0,8782T
2020/8/13,0,8782T
2020/8/14,0,8782T
2020/8/15,0,8782T
2020/8/16,0,8782T
2020/8/17,0,8782T
2020/8/18,0,8782T
2020/8/19,0,8782T
2020/8/20,1,8782T
2020/8/21,0,8782T
2020/8/22,1,8782T
2020/8/23,0,8782T
2020/8/24,0,8782T
2020/8/25,0,8782T
2020/8/26,0,8782T
2020/8/27,0,8782T
2020/8/28,1,8782T
2020/8/29,0,8782T
2020/8/30,0,8782T
2020/8/31,0,8782T
2020/9/1,1,8782T
2020/9/2,0,8782T
2020/9/3,0,8782T
2020/9/4,0,8782T
2020/9/5,0,8782T
2020/9/6,0,8782T
2020/9/7,0,8782T
2020/9/8,0,8782T
2020/9/9,0,8782T
2020/9/10,1,8782T
2020/9/11,0,8782T
2020/9/12,0,8782T
2020/9/13,1,8782T
2020/9/14,1,8782T
2020/9/15,0,8782T
2020/9/16,0,8782T
2020/9/17,1,8782T
2020/9/18,0,8782T
2020/9/19,2,8782T
2020/9/20,0,8782T
2020/9/21,0,8782T
2020/9/22,0,8782T
2020/9/23,1,8782T
2020/9/24,1,8782T
2020/9/25,1,8782T
2020/9/26,0,8782T
2020/9/27,0,8782T
2020/9/28,4,8782T
2020/9/29,3,8782T
2020/9/30,0,8782T
2020/10/1,4,8782T
2020/10/2,1,8782T
2020/10/3,0,8782T
2020/10/4,0,8782T
2020/10/5,2,8782T
2020/10/6,0,8782T
2020/10/7,2,8782T
2020/10/8,5,8782T
2020/10/9,1,8782T
2020/10/10,1,8782T
2020/10/11,0,8782T
2020/10/12,0,8782T
2020/10/13,1,8782T
2020/10/14,0,8782T
2020/10/15,0,8782T
2020/10/16,2,8782T
2020/10/17,3,8782T
2020/10/18,0,8782T
2020/10/19,0,8782T
2020/10/20,1,8782T
2020/10/21,2,8782T
2020/10/22,2,8782T
2020/10/23,1,8782T
2020/10/24,0,8782T
2020/10/25,0,8782T
2020/10/26,0,8782T
2020/10/27,0,8782T
2020/10/28,12,8782T
2020/10/29,2,8782T
2020/10/30,1,8782T
2020/10/31,1,8782T
2020/11/1,3,8782T
2020/11/2,9,8782T
2020/11/3,1,8782T
2020/11/4,4,8782T
2020/11/5,3,8782T
2020/11/6,1,8782T
2020/11/7,1,8782T
2020/11/8,0,8782T
2020/11/9,2,8782T
2020/11/10,1,8782T
2020/11/11,1,8782T
2020/11/12,1,8782T
2020/11/13,1,8782T
2020/11/14,5,8782T
2020/11/15,0,8782T
2020/11/16,1,8782T
2020/11/17,4,8782T
2020/11/18,0,8782T
2020/11/19,2,8782T
2020/11/20,1,8782T
2020/11/21,2,8782T
2020/11/22,0,8782T
2020/11/23,9,8782T
2020/11/24,1,8782T
2020/11/25,2,8782T
2020/11/26,2,8782T
2020/11/27,2,8782T
2020/11/28,1,8782T
2020/11/29,0,8782T
2020/11/30,0,8782T
2020/12/1,2,8782T
2020/12/2,5,8782T
2020/12/3,2,8782T
2020/12/4,0,8782T
2020/12/5,1,8782T
2020/12/6,0,8782T
2020/12/7,0,8782T
2020/12/8,0,8782T
2020/12/9,1,8782T
2020/12/10,11,8782T
2020/12/11,12,8782T
2020/12/12,0,8782T
2020/12/13,2,8782T
2020/12/14,5,8782T
2020/12/15,7,8782T
2020/12/16,4,8782T
2020/12/17,5,8782T
2020/12/18,3,8782T
2020/12/19,1,8782T
2020/12/20,3,8782T
2020/12/21,3,8782T
2020/12/22,6,8782T
2020/12/23,5,8782T
2020/12/24,5,8782T
2020/12/25,0,8782T
2020/12/26,7,8782T
2020/12/27,2,8782T
2020/12/28,5,8782T
2020/12/29,25,8782T
2020/12/30,11,8782T
2020/12/31,2,8782T
2021/1/1,3,8782T
2021/1/2,2,8782T
2021/1/3,7,8782T
2021/1/4,7,8782T
2021/1/5,3,8782T
2021/1/6,7,8782T
2021/1/7,7,8782T
2021/1/8,2,8782T
2021/1/9,5,8782T
2021/1/10,6,8782T
2021/1/11,2,8782T
2021/1/12,7,8782T
2021/1/13,6,8782T
2021/1/14,6,8782T
2021/1/15,7,8782T
2021/1/16,4,8782T
2021/1/17,4,8782T
2021/1/18,3,8782T
2021/1/19,6,8782T
2021/1/20,9,8782T
2021/1/21,18,8782T
2021/1/22,7,8782T
2021/1/23,2,8782T
2021/1/24,2,8782T
2021/1/25,13,8782T
2021/1/26,6,8782T
2021/1/27,3,8782T
2021/1/28,8,8782T
2021/1/29,4,8782T
2021/1/30,5,8782T
2021/1/31,3,8782T
2021/2/1,14,8782T
2021/2/2,5,8782T
2021/2/3,7,8782T
2021/2/4,8,8782T
2021/2/5,8,8782T
2021/2/6,2,8782T
2021/2/7,2,8782T
2021/2/8,9,8782T
2021/2/9,8,8782T
2021/2/10,6,8782T
2021/2/11,7,8782T
2021/2/12,4,8782T
2021/2/13,4,8782T
2021/2/14,3,8782T
2021/2/15,11,8782T
2021/2/16,2,8782T
2021/2/17,7,8782T
2021/2/18,6,8782T
2021/2/19,8,8782T
2021/2/20,0,8782T
2021/2/21,2,8782T
2021/2/22,2,8782T
2021/2/23,7,8782T
2021/2/24,1,8782T
2021/2/25,2,8782T
2021/2/26,5,8782T
2021/2/27,3,8782T
2021/2/28,3,8782T
2021/3/1,7,8782T
2021/3/2,6,8782T
2021/3/3,5,8782T
2021/3/4,7,8782T
2021/3/5,4,8782T
2021/3/6,4,8782T
2021/3/7,1,8782T
2021/3/8,4,8782T
2021/3/9,10,8782T
2021/3/10,7,8782T
2021/3/11,3,8782T
2021/3/12,2,8782T
2021/3/13,2,8782T
2021/3/14,0,8782T
2021/3/15,2,8782T
2021/3/16,9,8782T
2021/3/17,2,8782T
2021/3/18,7,8782T
2021/3/19,3,8782T
2021/3/20,1,8782T
2021/3/21,1,8782T
2021/3/22,6,8782T
2021/3/23,2,8782T
2021/3/24,10,8782T
2021/3/25,4,8782T
2021/3/26,4,8782T
2021/3/27,3,8782T
2021/3/28,3,8782T
2021/3/29,4,8782T
2021/3/30,6,8782T
2021/3/31,7,8782T
2021/4/1,2,8782T
2021/4/2,6,8782T
2021/4/3,0,8782T
2021/4/4,1,8782T
2021/4/5,6,8782T
2021/4/6,3,8782T
2021/4/7,4,8782T
2021/4/8,6,8782T
2021/4/9,7,8782T
2021/4/10,2,8782T
2021/4/11,5,8782T
2021/4/12,2,8782T
2021/4/13,4,8782T
2021/4/14,4,8782T
2021/4/15,1,8782T
2021/4/16,3,8782T
2021/4/17,1,8782T
2021/4/18,0,8782T
2021/4/19,5,8782T
2021/4/20,9,8782T
2021/4/21,3,8782T
2021/4/22,7,8782T
2021/4/23,7,8782T
2021/4/24,4,8782T
2021/4/25,3,8782T
2021/4/26,10,8782T
2021/4/27,6,8782T
2021/4/28,5,8782T
2021/4/29,3,8782T
2021/4/30,3,8782T
2021/5/1,2,8782T
2021/5/2,3,8782T
2021/5/3,9,8782T
2021/5/4,9,8782T
2021/5/5,4,8782T
2021/5/6,15,8782T
2021/5/7,10,8782T
2021/5/8,5,8782T
2021/5/9,5,8782T
2021/5/10,4,8782T
2021/5/11,11,8782T
2021/5/12,7,8782T
2021/5/13,5,8782T
2021/5/14,2,8782T
2021/5/15,4,8782T
2021/5/16,5,8782T
2021/5/17,10,8782T
2021/5/18,12,8782T
2021/5/19,11,8782T
2021/5/20,11,8782T
2021/5/21,11,8782T
2021/5/22,2,8782T
2021/5/23,5,8782T
2021/5/24,12,8782T
2021/5/25,11,8782T
2021/5/26,6,8782T
2021/5/27,7,8782T
2021/5/28,3,8782T
2021/5/29,3,8782T
2021/5/30,3,8782T
2021/5/31,4,8782T
2021/6/1,14,8782T
2021/6/2,10,8782T
2021/6/3,6,8782T
2021/6/4,2,8782T
2021/6/5,2,8782T
2021/6/6,3,8782T
2021/6/7,16,8782T
2021/6/8,11,8782T
2021/6/9,4,8782T
2021/6/10,4,8782T
2021/6/11,5,8782T
2021/6/12,4,8782T
2021/6/13,2,8782T
2021/6/14,6,8782T
2021/6/15,1,8782T
2021/6/16,4,8782T
2021/6/17,3,8782T
2021/6/18,7,8782T
2021/6/19,2,8782T
2021/6/20,0,8782T
2021/6/21,7,8782T
2021/6/22,10,8782T
2021/6/23,3,8782T
2021/6/24,6,8782T
2021/6/25,5,8782T
2021/6/26,0,8782T
2021/6/27,3,8782T
2021/6/28,11,8782T
2021/6/29,1,8782T
2021/6/30,8,8782T
2021/7/1,3,8782T
2021/7/2,1,8782T
2021/7/3,5,8782T
2021/7/4,3,8782T
2021/7/5,7,8782T
2021/7/6,5,8782T
2021/7/7,0,8782T
2021/7/8,2,8782T
2021/7/9,2,8782T
2021/7/10,2,8782T
2021/7/11,2,8782T
2021/7/12,8,8782T
2021/7/13,1,8782T
2021/7/14,6,8782T
2021/7/15,4,8782T
2021/7/16,4,8782T
2021/7/17,5,8782T
2021/7/18,2,8782T
2021/7/19,10,8782T
2021/7/20,8,8782T
2021/7/21,3,8782T
2021/7/22,4,8782T
2021/7/23,4,8782T
2021/7/24,4,8782T
2021/7/25,8,8782T
2021/7/26,3,8782T
2021/7/27,4,8782T
2021/7/28,2,8782T
2021/7/29,4,8782T
2021/7/30,6,8782T
2021/7/31,5,8782T
2021/8/1,4,8782T
2021/8/2,2,8782T
2021/8/3,3,8782T
2021/8/4,5,8782T
2021/8/5,4,8782T
2021/8/6,6,8782T
2021/8/7,7,8782T
2021/8/8,4,8782T
2021/8/9,5,8782T
2021/8/10,4,8782T
2021/8/11,5,8782T
2021/8/12,3,8782T
2021/8/13,4,8782T
2021/8/14,3,8782T
2021/8/15,1,8782T
2021/8/16,3,8782T
2021/8/17,10,8782T
2021/8/18,10,8782T
2021/8/19,9,8782T
2021/8/20,2,8782T
2021/8/21,5,8782T
2021/8/22,10,8782T
2021/8/23,13,8782T
2021/8/24,13,8782T
2021/8/25,12,8782T
2021/8/26,6,8782T
2021/8/27,12,8782T
2021/8/28,8,8782T
2021/8/29,5,8782T
2021/8/30,12,8782T
2021/8/31,21,8782T
2021/9/1,9,8782T
2021/9/2,13,8782T
2021/9/3,15,8782T
2021/9/4,9,8782T
2021/9/5,6,8782T
2021/9/6,21,8782T
2021/9/7,14,8782T
2021/9/8,15,8782T
2021/9/9,19,8782T
2021/9/10,15,8782T
2021/9/11,9,8782T
2021/9/12,14,8782T
2021/9/13,19,8782T
2021/9/14,16,8782T
2021/9/15,11,8782T
2021/9/16,15,8782T
2021/9/17,21,8782T
2021/9/18,12,8782T
2021/9/19,15,8782T
2021/9/20,15,8782T
2021/9/21,25,8782T
2021/9/22,9,8782T
2021/9/23,14,8782T
2021/9/24,24,8782T
2021/9/25,11,8782T
2021/9/26,15,8782T
2021/9/27,19,8782T
2021/9/28,25,8782T
2021/9/29,30,8782T
2021/9/30,27,8782T
2021/10/1,15,8782T
2021/10/2,7,8782T
2021/10/3,18,8782T
2021/10/4,19,8782T
2021/10/5,20,8782T
2021/10/6,15,8782T
2021/10/7,23,8782T
2021/10/8,16,8782T
2021/10/9,13,8782T
2021/10/10,14,8782T
2021/10/11,15,8782T
2021/10/12,25,8782T
2021/10/13,23,8782T
2021/10/14,19,8782T
2021/10/15,12,8782T
2021/10/16,16,8782T
2021/10/17,13,8782T
2021/10/18,26,8782T
2021/10/19,25,8782T
2021/10/20,24,8782T
2021/10/21,25,8782T
2021/10/22,13,8782T
2021/10/23,20,8782T
2021/10/24,15,8782T
2021/10/25,15,8782T
2021/10/26,27,8782T
2021/10/27,14,8782T
2021/10/28,20,8782T
2021/10/29,19,8782T
2021/10/30,22,8782T
2021/10/31,28,8782T
2021/11/1,41,8782T
2021/11/2,20,8782T
2021/11/3,26,8782T
2021/11/4,38,8782T
2021/11/5,16,8782T
2021/11/6,7,8782T
2021/11/7,21,8782T
2021/11/8,20,8782T
2021/11/9,34,8782T
2021/11/10,36,8782T
2021/11/11,29,8782T
2021/11/12,24,8782T
2021/11/13,31,8782T
2021/11/14,15,8782T
2021/11/15,29,8782T
2021/11/16,31,8782T
2021/11/17,46,8782T
2021/11/18,31,8782T
2021/11/19,26,8782T
2021/11/20,25,8782T
2021/11/21,26,8782T
2021/11/22,45,8782T
2021/11/23,31,8782T
2021/11/24,30,8782T
2021/11/25,45,8782T
2021/11/26,35,8782T
2021/11/27,20,8782T
2021/11/28,21,8782T
2021/11/29,87,8782T
2021/11/30,35,8782T
2021/12/1,42,8782T
2021/12/2,16,8782T
2021/12/3,42,8782T
2021/12/4,16,8782T
2021/12/5,13,8782T
2021/12/6,74,8782T
2021/12/7,40,8782T
2021/12/8,27,8782T
2021/12/9,23,8782T
2021/12/10,23,8782T
2021/12/11,13,8782T
2021/12/12,9,8782T
2021/12/13,44,8782T
2021/12/14,20,8782T
2021/12/15,19,8782T
2021/12/16,8,8782T
2021/12/17,17,8782T
2021/12/18,13,8782T
2021/12/19,12,8782T
2021/12/20,20,8782T
2021/12/21,20,8782T
2021/12/22,6,8782T
2021/12/23,17,8782T
2021/12/24,18,8782T
2021/12/25,4,8782T
2021/12/26,6,8782T
2021/12/27,45,8782T
2021/12/28,6,8782T
2021/12/29,2,8782T
2021/12/30,6,8782T
2021/12/31,1,8782T
2022/1/1,0,8782T
2022/1/2,0,8782T
2022/1/3,44,8782T
2022/1/4,2,8782T
2022/1/5,1,8782T
2022/1/6,8,8782T
2022/1/7,1,8782T
2022/1/8,1,8782T
2022/1/9,0,8782T
2022/1/10,14,8782T
2022/1/11,2,8782T
2022/1/12,0,8782T
2022/1/13,0,8782T
2022/1/14,4,8782T
2022/1/15,0,8782T
2022/1/16,3,8782T
2022/1/17,2,8782T
2022/1/18,0,8782T
2022/1/19,0,8782T
2022/1/20,2,8782T
2022/1/21,1,8782T
2022/1/22,1,8782T
2022/1/23,0,8782T
2022/1/24,0,8782T
2022/1/25,3,8782T
2022/1/26,0,8782T
2022/1/27,1,8782T
2022/1/28,0,8782T
2022/1/29,0,8782T
2022/1/30,2,8782T
2022/1/31,4,8782T
2022/2/1,1,8782T
2022/2/2,0,8782T
2022/2/3,0,8782T
2022/2/4,0,8782T
2022/2/5,1,8782T
2022/2/6,0,8782T
2022/2/7,0,8782T
2022/2/8,1,8782T
2022/2/9,0,8782T
2022/2/10,0,8782T
2022/2/11,1,8782T
2022/2/12,1,8782T
2022/2/13,1,8782T
2022/2/14,1,8782T
2022/2/15,3,8782T
2022/2/16,1,8782T
2022/2/17,0,8782T
2022/2/18,1,8782T
2022/2/19,1,8782T
2022/2/20,1,8782T
2022/2/21,2,8782T
2022/2/22,1,8782T
2022/2/23,1,8782T
2022/2/24,1,8782T
2022/2/25,1,8782T
2022/2/26,1,8782T
2022/2/27,2,8782T
2022/2/28,0,8782T
2022/3/1,3,8782T
2022/3/2,1,8782T
2022/3/3,2,8782T
2022/3/4,1,8782T
2022/3/5,0,8782T
2022/3/6,3,8782T
2022/3/7,1,8782T
2022/3/8,2,8782T
2022/3/9,2,8782T
2022/3/10,3,8782T
2022/3/11,5,8782T
2022/3/12,0,8782T
2022/3/13,1,8782T
2022/3/14,1,8782T
2022/3/15,1,8782T
2022/3/16,2,8782T
2022/3/17,5,8782T
2022/3/18,1,8782T
2022/3/19,0,8782T
2022/3/20,1,8782T
2022/3/21,2,8782T
2022/3/22,3,8782T
2022/3/23,5,8782T
2022/3/24,1,8782T
2022/3/25,0,8782T
2022/3/26,3,8782T
2022/3/27,2,8782T
2022/3/28,1,8782T
2022/3/29,1,8782T
2022/3/30,6,8782T
2022/3/31,3,8782T
2022/4/1,2,8782T
2022/4/2,0,8782T
2022/4/3,3,8782T
2022/4/4,1,8782T
2022/4/5,5,8782T
2022/4/6,4,8782T
2022/4/7,5,8782T
2022/4/8,2,8782T
2022/4/9,3,8782T
2022/4/10,0,8782T
2022/4/11,2,8782T
2022/4/12,1,8782T
2022/4/13,1,8782T
2022/4/14,1,8782T
2022/4/15,0,8782T
2022/4/16,0,8782T
2022/4/17,0,8782T
2022/4/18,1,8782T
2022/4/19,0,8782T
2022/4/20,1,8782T
2022/4/21,1,8782T
2022/4/22,0,8782T
2022/4/23,0,8782T
2022/4/24,0,8782T
2022/4/25,4,8782T
2022/4/26,4,8782T
2022/4/27,2,8782T
2022/4/28,5,8782T
2022/4/29,1,8782T
2022/4/30,0,8782T
2022/5/1,0,8782T
2022/5/2,1,8782T
2022/5/3,2,8782T
2022/5/4,1,8782T
2022/5/5,1,8782T
2022/5/6,0,8782T
2022/5/7,0,8782T
2022/5/8,2,8782T
2022/5/9,1,8782T
2022/5/10,2,8782T
2022/5/11,0,8782T
2022/5/12,3,8782T
2022/5/13,0,8782T
2022/5/14,1,8782T
2022/5/15,1,8782T
2022/5/16,0,8782T
2022/5/17,0,8782T
2022/5/18,2,8782T
2022/5/19,1,8782T
2022/5/20,0,8782T
2022/5/21,2,8782T
2022/5/22,0,8782T
2022/5/23,1,8782T
2022/5/24,1,8782T
2022/5/25,0,8782T
2022/5/26,0,8782T
2022/5/27,0,8782T
2022/5/28,0,8782T
2022/5/29,0,8782T
2022/5/30,1,8782T
2022/5/31,0,8782T
2022/6/1,1,8782T
2022/6/2,0,8782T
2022/6/3,1,8782T
2022/6/4,0,8782T
2022/6/5,0,8782T
2022/6/6,0,8782T
2022/6/7,1,8782T
2022/6/8,0,8782T
2022/6/9,0,8782T
2022/6/10,1,8782T
2022/6/11,0,8782T
2022/6/12,0,8782T
2022/6/13,0,8782T
2022/6/14,0,8782T
2022/6/15,0,8782T
2022/6/16,0,8782T
2022/6/17,0,8782T
2022/6/18,0,8782T
2022/6/19,1,8782T
2022/6/20,0,8782T
2022/6/21,0,8782T
2022/6/22,0,8782T
2022/6/23,0,8782T
2022/6/24,0,8782T
2022/6/25,0,8782T
2022/6/26,0,8782T
2022/6/27,0,8782T
2022/6/28,1,8782T
2022/6/29,0,8782T
2022/6/30,0,8782T
2022/7/1,1,8782T
2022/7/2,0,8782T
2022/7/3,0,8782T
2022/7/4,0,8782T
2022/7/5,0,8782T
2022/7/6,1,8782T
2022/7/7,0,8782T
2022/7/8,1,8782T
2022/7/9,0,8782T
2022/7/10,0,8782T
2022/7/11,0,8782T
2022/7/12,0,8782T
2022/7/13,2,8782T
2022/7/14,0,8782T
2022/7/15,0,8782T
2022/7/16,0,8782T
2022/7/17,0,8782T
2022/7/18,0,8782T
2022/7/19,0,8782T
2022/7/20,0,8782T
2022/7/21,0,8782T
2022/7/22,0,8782T
2022/7/23,0,8782T
2022/7/24,0,8782T
2022/7/25,1,8782T
2022/7/26,0,8782T
2022/7/27,0,8782T
2022/7/28,1,8782T
2022/7/29,0,8782T
2022/7/30,0,8782T
2022/7/31,0,8782T
2022/8/1,1,8782T
2022/8/2,0,8782T
2022/8/3,0,8782T
2022/8/4,0,8782T
2022/8/5,0,8782T
2022/8/6,0,8782T
2022/8/7,0,8782T
2022/8/8,0,8782T
2022/8/9,1,8782T
2022/8/10,0,8782T
2022/8/11,1,8782T
2022/8/12,0,8782T
2022/8/13,0,8782T
2022/8/14,0,8782T
2022/8/15,0,8782T
2022/8/16,0,8782T
2022/8/17,0,8782T
2022/8/18,0,8782T
2022/8/19,0,8782T
2022/8/20,1,8782T
2022/8/21,0,8782T
2022/8/22,1,8782T
2022/8/23,0,8782T
2022/8/24,0,8782T
2022/8/25,0,8782T
2022/8/26,0,8782T
2022/8/27,0,8782T
2022/8/28,0,8782T
2022/8/29,0,8782T
2022/8/30,1,8782T
2022/8/31,0,8782T
2022/9/1,1,8782T
2022/9/2,1,8782T
2022/9/3,0,8782T
2022/9/4,1,8782T
2022/9/5,0,8782T
2022/9/6,2,8782T
2022/9/7,0,8782T
2022/9/8,0,8782T
2022/9/9,0,8782T
2022/9/10,1,8782T
2022/9/11,0,8782T
2022/9/12,0,8782T
2022/9/13,0,8782T
2022/9/14,0,8782T
2022/9/15,0,8782T
2022/9/16,0,8782T
2022/9/17,0,8782T
2022/9/18,0,8782T
2022/9/19,0,8782T
2022/9/20,0,8782T
2022/9/21,0,8782T
2022/9/22,0,8782T
2022/9/23,0,8782T
2022/9/24,2,8782T
2022/9/25,0,8782T
2022/9/26,0,8782T
2022/9/27,0,8782T
2022/9/28,0,8782T
2022/9/29,0,8782T
2022/9/30,0,8782T
2022/10/1,0,8782T
2022/10/2,0,8782T
2022/10/3,0,8782T
2019/12/24,0,28144C
2019/12/25,0,28144C
2019/12/26,0,28144C
2019/12/27,0,28144C
2019/12/28,0,28144C
2019/12/29,0,28144C
2019/12/30,0,28144C
2019/12/31,0,28144C
2020/1/1,0,28144C
2020/1/2,0,28144C
2020/1/3,0,28144C
2020/1/4,0,28144C
2020/1/5,0,28144C
2020/1/6,0,28144C
2020/1/7,0,28144C
2020/1/8,0,28144C
2020/1/9,0,28144C
2020/1/10,0,28144C
2020/1/11,0,28144C
2020/1/12,0,28144C
2020/1/13,1,28144C
2020/1/14,0,28144C
2020/1/15,0,28144C
2020/1/16,0,28144C
2020/1/17,0,28144C
2020/1/18,0,28144C
2020/1/19,0,28144C
2020/1/20,0,28144C
2020/1/21,0,28144C
2020/1/22,0,28144C
2020/1/23,1,28144C
2020/1/24,0,28144C
2020/1/25,0,28144C
2020/1/26,1,28144C
2020/1/27,3,28144C
2020/1/28,0,28144C
2020/1/29,1,28144C
2020/1/30,2,28144C
2020/1/31,2,28144C
2020/2/1,1,28144C
2020/2/2,0,28144C
2020/2/3,2,28144C
2020/2/4,0,28144C
2020/2/5,0,28144C
2020/2/6,1,28144C
2020/2/7,1,28144C
2020/2/8,2,28144C
2020/2/9,0,28144C
2020/2/10,0,28144C
2020/2/11,1,28144C
2020/2/12,0,28144C
2020/2/13,0,28144C
2020/2/14,0,28144C
2020/2/15,0,28144C
2020/2/16,0,28144C
2020/2/17,1,28144C
2020/2/18,0,28144C
2020/2/19,2,28144C
2020/2/20,0,28144C
2020/2/21,0,28144C
2020/2/22,1,28144C
2020/2/23,2,28144C
2020/2/24,1,28144C
2020/2/25,1,28144C
2020/2/26,0,28144C
2020/2/27,0,28144C
2020/2/28,1,28144C
2020/2/29,0,28144C
2020/3/1,0,28144C
2020/3/2,4,28144C
2020/3/3,2,28144C
2020/3/4,1,28144C
2020/3/5,2,28144C
2020/3/6,1,28144C
2020/3/7,3,28144C
2020/3/8,1,28144C
2020/3/9,6,28144C
2020/3/10,1,28144C
2020/3/11,2,28144C
2020/3/12,3,28144C
2020/3/13,4,28144C
2020/3/14,0,28144C
2020/3/15,4,28144C
2020/3/16,2,28144C
2020/3/17,4,28144C
2020/3/18,3,28144C
2020/3/19,4,28144C
2020/3/20,5,28144C
2020/3/21,1,28144C
2020/3/22,0,28144C
2020/3/23,2,28144C
2020/3/24,2,28144C
2020/3/25,4,28144C
2020/3/26,4,28144C
2020/3/27,4,28144C
2020/3/28,1,28144C
2020/3/29,0,28144C
2020/3/30,3,28144C
2020/3/31,1,28144C
2020/4/1,1,28144C
2020/4/2,2,28144C
2020/4/3,0,28144C
2020/4/4,1,28144C
2020/4/5,1,28144C
2020/4/6,0,28144C
2020/4/7,2,28144C
2020/4/8,1,28144C
2020/4/9,1,28144C
2020/4/10,1,28144C
2020/4/11,1,28144C
2020/4/12,0,28144C
2020/4/13,1,28144C
2020/4/14,1,28144C
2020/4/15,0,28144C
