region,Lineage A,Lineage B,8782T,28144C,lat,lon,radius,continent,country
Anhui,4,32,0,1,32,117,6.209453366,Asia,China
Australia,9,22,0,0,-24.7761086,134.755,5.95419631,Australia,Australia
Beijing,19,16,0,3,39.906217,116.3912757,6.247927513,Asia,China
Belgium,1,7,0,0,50.6402809,4.6667145,4,Europe,Belgium
Chongqing,1,2,0,0,29.5647398,106.5478767,2.584962501,Asia,China
UK,3,131,0,0,52.5310214,-1.2649062,8.044394119,Europe,UK
France,2,48,0,0,46.603354,1.8883335,6.64385619,Europe,France
Fujian,3,2,0,0,26.5450001,117.842778,2,Asia,China
Guangdong,48,67,0,0,23.1357694,113.1982688,6.930737338,Asia,China
Guangxi,1,4,0,0,24,109,3.321928095,Asia,China
Henan,8,6,0,0,34.0000001,113.9999999,4.807354922,Asia,China
HongKong,6,71,0,0,22.2793278,114.1628131,7.266786541,Asia,China
India,1,3,0,0,22.3511148,78.6677428,3,Asia,India
Japan,17,130,2,0,36.5748441,139.2394179,8.21916852,Asia,Japan
Jiangxi,20,18,0,0,28,116,4.169925001,Asia,China
Shandong,30,29,0,0,36.0000001,118.9999999,6.857980995,Asia,China
Shanghai,25,49,0,0,31.2322758,121.4692071,7.209453366,Asia,China
Shenzhen,2,1,0,0,22.5445741,114.0545429,2.584962501,Asia,China
Sichuan,10,34,0,12,30.5000001,102.4999999,6.807354922,Asia,China
Singapore,4,23,13,0,1.357107,103.8194992,6.321928095,Asia,Singapore
SouthKorea,28,111,0,1,37.3210638,127.1016242,8.129283017,Asia,SouthKorea
Spain,18,10,2,1,39.3260685,-4.8379791,5.95419631,Europe,Spain
Thailand,8,15,0,1,14.8971921,100.83273,5.584962501,Asia,Thailand
UnitedArabEmirates,4,9,0,0,37.1532,46.4964,4.700439718,Asia,UnitedArabEmirates
USA,78,73,0,0,39.7837304,-100.445882,8.199672345,America,USA
Wuhan,31,88,3,8,30.5951051,114.2999353,8.022367813,Asia,China
Yunnan,1,0,0,0,25,102,1,Asia,China
Zhejiang,25,38,0,0,29.0000001,119.9999999,5.523561956,Asia,China
Austria,0,7,0,0,47.59397,14.12456,3.807354922,Europe,Austria
Belize,0,1,0,0,16.8259793,-88.7600927,1,America,Belize
Brazil,0,8,0,0,-10.3333333,-53.2,4,America,Brazil
Cambodia,0,1,0,0,12.5433216,104.8144914,1,Asia,Cambodia
Canada,0,6,0,0,61.0666922,-107.991707,3.584962501,America,Canada
CanaryIslands,0,2,0,0,28.291565,-16.629129,2,Europe,Spain
China,0,2,0,0,35.000074,104.999927,2,Asia,China
CzechRepublic,0,2,0,0,50.073658,14.41854,2,Europe,CzechRepublic
Denmark,0,3,0,0,55.670249,10.3333283,2.584962501,Europe,Denmark
DominicanRepublic,0,1,0,0,18.7357,-70.1627,1,America,DominicanRepublic
Finland,0,1,0,0,63.2467777,25.9209164,1,Europe,Finland
Germany,0,29,0,0,51.1638175,10.4478313,5.857980995,Europe,Germany
Greece,0,1,0,0,38.9953683,21.9877132,1,Europe,Greece
Hunan,1,7,0,0,27.6662087,111.7487063,3.807354922,Asia,China
Iceland,0,3,0,0,64.9841821,-18.1059013,2.584962501,Europe,Iceland
Iran,0,2,0,0,32.6475314,54.5643516,2,Asia,Iran
Israel,0,2,0,0,30.8124247,34.8594762,2,Asia,Israel
Italy,0,192,0,0,42.6384261,12.674297,8.584962501,Europe,Italy
Jiangsu,0,4,0,0,33.0000001,119.9999999,2.584962501,Asia,China
Kazakhstan,0,1,0,0,48.1012954,66.7780818,1,Asia,Kazakhstan
Lebanon,0,20,0,0,33.8750629,35.843409,5.321928095,Asia,Lebanon
Luxembourg,0,2,0,0,49.8158683,6.1296751,2,Europe,Luxembourg
Malaysia,0,1,0,0,4.5693754,102.2656823,1,Asia,Malaysia
Mexico,0,2,0,0,23.6585116,-102.0077097,2,America,Mexico
Morocco,0,3,0,0,31.1728205,-7.3362482,2.584962501,Africa,Morocco
Nepal,0,1,0,0,28.1083929,84.0917139,1,Asia,Nepal
Netherlands,0,13,0,0,52.2434979,5.6343227,4.700439718,Europe,Netherlands
NewZealand,0,1,0,0,-40.9006,174.886,1,Australia,NewZealand
Norway,0,9,0,0,60.5000209,9.0999715,4.169925001,Europe,Norway
Oman,0,2,0,0,21.0000287,57.0036901,2,Asia,Oman
Portugal,0,2,0,0,39.6621648,-8.1353519,2,Europe,Portugal
Russia,0,1,0,0,64.6863136,97.7453061,1,Asia,Russia
SaintBarthelemy,0,1,0,0,17.9139,-62.8339,1,Europe,France
SaudiArabia,0,16,0,0,24,45,5,Asia,SaudiArabia
Senegal,0,2,0,0,14.4750607,-14.4529612,2,Africa,Senegal
Sweden,0,7,0,0,59.6749712,14.5208584,3.807354922,Europe,Sweden
Switzerland,0,30,0,0,46.7985624,8.2319736,5.906890596,Europe,Switzerland
Taiwan,0,6,0,0,23.9739374,120.9820179,3.584962501,Asia,China
Zimbabwe,0,1,0,0,-18.4554963,29.7468414,1,Africa,Zimbabwe